SampleID,ScatID,Individual,Date,Day,Scat_Moisture,Soil_Moisture,Sampling_Time,Scat_Extracted,Qubit,Volume,DNA_Available,SpeedVac,WGA,Notes
MA1-00,MA1,Marty,9/12/2024,0,Nor,Wet+,16:20,96,42000,18,756,Y,Y,Deposited overnight
MA1-01,MA1,Marty,9/13/2024,1,Wet,Dry,14:00,98,42800,18,770.4,Y,Y,
MA1-02,MA1,Marty,9/14/2024,2,Nor,Dry,15:00,156,57000,18,1026,Y,Y,
MA1-03,MA1,Marty,9/15/2024,3,Wet,Dry,13:45,96,57000,18,1026,Y,Y,
MA1-04,MA1,Marty,9/16/2024,4,Nor,Dry,12:40,104,56000,36,2016,Y,Y,
MA1-05,MA1,Marty,9/17/2024,5,Nor,Dry+,13:00,165,60000,18,1080,Y,Y,Covered in white-brown fuzz
MA1-06,MA1,Marty,9/18/2024,6,Wet,Dry,12:40,109,10200,18,183.6,Y,Y,Covered in white fuzz
MA1-07,MA1,Marty,9/19/2024,7,Wet,Dry+,12:30,98,38500,18,693,Y,Y,Covered in white fuzz
MA2-00,MA2,Marty,9/13/2024,0,Nor,Dry,14:00,80,57000,18,1026,Y,Y,Picked up 8AM
MA2-01,MA2,Marty,9/14/2024,1,Nor,Dry,15:00,81,53000,18,954,Y,Y,Has small white dots on it
MA2-02,MA2,Marty,9/15/2024,2,Dry,Dry+,13:45,52,57000,18,1026,Y,Y,Has small white dots on it
MA2-03,MA2,Marty,9/16/2024,3,Wet,Dry+,12:40,189,60000,18,1080,Y,Y,Covered in white spots
MA2-04,MA2,Marty,9/17/2024,4,Dry,Dry+,13:00,113,52000,18,936,Y,Y,Covered in white fuzz
MA2-05,MA2,Marty,9/18/2024,5,Nor,Dry+,12:40,100,55000,18,990,Y,Y,Covered in white fuzz
MA2-06,MA2,Marty,9/19/2024,6,Nor,Dry+,12:30,104,51000,180,9180,Y,Y,Covered in white fuzz
MA2-07,MA2,Marty,9/20/2024,7,Nor,Dry+,13:00,88,54000,18,972,Y,Y,Covered in white fuzz
MA3-00,MA3,Marty,9/14/2024,0,Dry,Dry,15:00,128,56000,18,1008,Y,Y,"Picked up 7AM, longer dark segment and short light brown segment, sampled from darker segment)"
MA3-01,MA3,Marty,9/15/2024,1,Nor,Dry,13:45,199,59000,18,1062,Y,Y,Sampled from dark segment
MA3-02,MA3,Marty,9/16/2024,2,Wet,Dry,12:40,78,57000,18,1026,Y,Y,Sampled from dark segment
MA3-03,MA3,Marty,9/17/2024,3,Nor,Dry+,13:00,73,56000,18,1008,Y,Y,Sampled from dark segment
MA3-04,MA3,Marty,9/18/2024,4,Nor,Dry,12:40,160,55000,18,990,Y,Y,"Covered in white-brown fuzz, sampled from dark segment"
MA3-05,MA3,Marty,9/19/2024,5,Nor,Dry+,12:30,157,60000,18,1080,Y,Y,"Covered in white-brown fuzz, sampled from dark segment"
MA3-06,MA3,Marty,9/20/2024,6,Dry,Dry+,13:00,96,49300,122,6014.6,Y,Y,"Completely covered in white fuzz, had to go through at least 1 cm to reach scat, sampled from lighter segment"
MA3-07,MA3,Marty,9/21/2024,7,Dry,Dry+,12:45,49,47600,64,3046.4,Y,Y,"Completely covered in white fuzz, had to go through at least 1 cm to reach scat, sampled from lighter segment"
MO1-00,MO1,Monty,9/12/2024,0,Nor,Wet+,16:20,106,1440,98,141.12,N,N,Deposited overnight
MO1-01,MO1,Monty,9/13/2024,1,Dry,Dry,14:00,40,59000,18,1062,Y,Y,
MO1-02,MO1,Monty,9/14/2024,2,Wet,Dry,15:00,98,54000,122,6588,Y,Y,
MO1-03,MO1,Monty,9/15/2024,3,Wet,Dry,13:45,92,56000,18,1008,Y,Y,
MO1-04,MO1,Monty,9/16/2024,4,Wet,Dry,12:40,99,4180,98,409.64,N,N,
MO1-05,MO1,Monty,9/17/2024,5,Wet,Dry+,13:00,119,1030,98,100.94,N,N,
MO1-06,MO1,Monty,9/18/2024,6,Wet,Dry,12:40,135,1100,37,40.7,Y,N,"Covered in white fuzz, part of ethanol vial spilled"
MO1-07,MO1,Monty,9/19/2024,7,Wet,Dry+,12:30,77,8280,98,811.44,N,N,Covered in white fuzz
MO2-00,MO2,Monty,9/13/2024,0,Nor,Dry,14:00,202,54000,18,972,Y,Y,Picked up 8AM
MO2-01,MO2,Monty,9/14/2024,1,Nor,Dry,15:00,31,59000,18,1062,Y,Y,
MO2-02,MO2,Monty,9/15/2024,2,Nor,Dry+,13:45,19,52000,18,936,Y,Y,
MO2-03,MO2,Monty,9/16/2024,3,Nor,Dry+,12:40,63,56000,18,1008,Y,Y,
MO2-04,MO2,Monty,9/17/2024,4,Wet,Dry+,13:00,62,53000,18,954,Y,Y,A little white fuzz
MO2-05,MO2,Monty,9/18/2024,5,Nor,Dry+,12:40,114,52000,18,936,Y,Y,Covered in white fuzz
MO2-06,MO2,Monty,9/19/2024,6,Nor,Dry+,12:30,37,2080,37,76.96,Y,N,Covered in white fuzz
MO2-07,MO2,Monty,9/20/2024,7,Dry+,Dry+,13:00,77,59000,18,1062,Y,Y,Covered in white fuzz
MO3-00,MO3,Monty,9/14/2024,0,Dry,Dry,15:00,96,53000,18,954,Y,Y,Picked up 7AM
MO3-01,MO3,Monty,9/15/2024,1,Wet,Dry+,13:45,86,55000,18,990,Y,Y,
MO3-02,MO3,Monty,9/16/2024,2,Wet,Dry+,12:40,88,56000,18,1008,Y,Y,
MO3-03,MO3,Monty,9/17/2024,3,Wet,Dry+,13:00,115,56000,18,1008,Y,Y,
