Sample ID	Day	Scat ID	Individual	Date	Scat Moisture Level	Soil Moisture Level	Sampling Time	Scat Used for Extraction (mg)	Original Qubit Concentration (ng/mL)	Original Volume (uL)	Original ng DNA Available	SV	SV-WGA	Pre-SV WGA
MA1-00	0	MA1	Marty	9/12/2024	Nor	Wet+	16:20	96	173	98	16.954	C	Y	N
MA1-01	1	MA1	Marty	9/13/2024	Wet	Dry	14:00	98	110	98	10.78	C	Y	N
MA1-02	2	MA1	Marty	9/14/2024	Nor	Dry	15:00	156	64	94	6.016	C	Y	Y
MA1-03	3	MA1	Marty	9/15/2024	Wet	Dry	13:45	96	53	94	4.982	C	Y	Y
MA1-04	4	MA1	Marty	9/16/2024	Nor	Dry	12:40	104	107	98	10.486	C	Y	N
MA1-05	5	MA1	Marty	9/17/2024	Nor	Dry+	13:00	165	21	86	1.806	C	Y	Y
MA1-06	6	MA1	Marty	9/18/2024	Wet	Dry	12:40	109	154	98	15.092	C	Y	N
MA1-07	7	MA1	Marty	9/19/2024	Wet	Dry+	12:30	98	95	98	9.31	C	Y	N
MA2-00	0	MA2	Marty	9/13/2024	Nor	Dry	14:00	80	64.8	86	5.5728	C	Y	Y
MA2-01	1	MA2	Marty	9/14/2024	Nor	Dry	15:00	81	124	98	12.152	C	Y	N
MA2-02	2	MA2	Marty	9/15/2024	Dry	Dry+	13:45	52	52	94	4.888	C	Y	Y
MA2-03	3	MA2	Marty	9/16/2024	Wet	Dry+	12:40	189	138	98	13.524	C	Y	N
MA2-04	4	MA2	Marty	9/17/2024	Dry	Dry+	13:00	113	95	98	9.31	C	Y	N
MA2-05	5	MA2	Marty	9/18/2024	Nor	Dry+	12:40	100	75	94	7.05	C	Y	Y
MA2-06	6	MA2	Marty	9/19/2024	Nor	Dry+	12:30	104	68	94	6.392	C	Y	Y
MA2-07	7	MA2	Marty	9/20/2024	Nor	Dry+	13:00	88	126	98	12.348	C	Y	N
MA3-00	0	MA3	Marty	9/14/2024	Dry	Dry	15:00	128	372	90	33.48	C	Y	N
MA3-01	1	MA3	Marty	9/15/2024	Nor	Dry	13:45	199	46.4	86	3.9904	C	Y	Y
MA3-02	2	MA3	Marty	9/16/2024	Wet	Dry	12:40	78	42	86	3.612	C	Y	Y
MA3-03	3	MA3	Marty	9/17/2024	Nor	Dry+	13:00	73	153	98	14.994	C	Y	N
MA3-04	4	MA3	Marty	9/18/2024	Nor	Dry	12:40	160	80.8	86	6.9488	C	Y	Y
MA3-05	5	MA3	Marty	9/19/2024	Nor	Dry+	12:30	157	530	90	47.7	C	Y	N
MA3-06	6	MA3	Marty	9/20/2024	Dry	Dry+	13:00	96	118	90	10.62	C	Y	N
MA3-07	7	MA3	Marty	9/21/2024	Dry	Dry+	12:45	49	56.8	84	4.7712	C	Y	Y
MO1-00	0	MO1	Monty	9/12/2024	Nor	Wet+	16:20	106	1440	98	141.12	U	NA	N
MO1-01	1	MO1	Monty	9/13/2024	Dry	Dry	14:00	40	29.6	84	2.4864	C	Y	Y
MO1-02	2	MO1	Monty	9/14/2024	Wet	Dry	15:00	98	204	98	19.992	C	Y	N
MO1-03	3	MO1	Monty	9/15/2024	Wet	Dry	13:45	92	142	98	13.916	C	Y	N
MO1-04	4	MO1	Monty	9/16/2024	Wet	Dry	12:40	99	4180	98	409.64	U	NA	N
MO1-05	5	MO1	Monty	9/17/2024	Wet	Dry+	13:00	119	1030	98	100.94	U	NA	N
MO1-06	6	MO1	Monty	9/18/2024	Wet	Dry	12:40	135	595	98	58.31	C	NA	N
MO1-07	7	MO1	Monty	9/19/2024	Wet	Dry+	12:30	77	8280	98	811.44	U	NA	N
MO2-00	0	MO2	Monty	9/13/2024	Nor	Dry	14:00	202	225	98	22.05	C	Y	N
MO2-01	1	MO2	Monty	9/14/2024	Nor	Dry	15:00	31	251	98	24.598	C	Y	N
MO2-02	2	MO2	Monty	9/15/2024	Nor	Dry+	13:45	19	406	90	36.54	C	Y	N
MO2-03	3	MO2	Monty	9/16/2024	Nor	Dry+	12:40	63	419	98	41.062	C	Y	N
MO2-04	4	MO2	Monty	9/17/2024	Wet	Dry+	13:00	62	152	98	14.896	C	Y	N
MO2-05	5	MO2	Monty	9/18/2024	Nor	Dry+	12:40	114	346	90	31.14	C	Y	N
MO2-06	6	MO2	Monty	9/19/2024	Nor	Dry+	12:30	37	771	98	75.558	C	NA	N
MO2-07	7	MO2	Monty	9/20/2024	Dry+	Dry+	13:00	77	391	98	38.318	C	Y	N
MO3-00	0	MO3	Monty	9/14/2024	Dry	Dry	15:00	96	284	98	27.832	C	Y	N
MO3-01	1	MO3	Monty	9/15/2024	Wet	Dry+	13:45	86	454	98	44.492	C	Y	N
MO3-02	2	MO3	Monty	9/16/2024	Wet	Dry+	12:40	88	422	98	41.356	C	Y	N
MO3-03	3	MO3	Monty	9/17/2024	Wet	Dry+	13:00	115	71	94	6.674	C	Y	Y
MO3-04	4	MO3	Monty	9/18/2024	Wet	Dry+	12:40	88	102	98	9.996	C	Y	N
MO3-05	5	MO3	Monty	9/19/2024	Wet	Dry+	12:30	140	61	94	5.734	C	Y	Y
MO3-06	6	MO3	Monty	9/20/2024	Wet	Dry+	13:00	143	169	98	16.562	C	Y	N
MO3-07	7	MO3	Monty	9/21/2024	Nor	Dry+	12:45	87	196	98	19.208	C	Y	N
NU1-00	0	NU1	Nuka	9/13/2024	Dry	Dry	14:00	96	84	98	8.232	C	Y	N
NU1-01	1	NU1	Nuka	9/14/2024	Wet	Dry	15:00	94	130	98	12.74	C	Y	N
NU1-02	2	NU1	Nuka	9/15/2024	Nor	Dry	13:45	81	134	98	13.132	C	Y	N
NU1-03	3	NU1	Nuka	9/16/2024	Wet	Dry	12:40	72	74	94	6.956	C	Y	Y
NU1-04	4	NU1	Nuka	9/17/2024	Nor	Dry+	13:00	90	80	94	7.52	C	Y	Y
NU1-05	5	NU1	Nuka	9/18/2024	Nor	Dry	12:40	103	76	94	7.144	C	Y	Y
NU1-06	6	NU1	Nuka	9/19/2024	Nor	Dry+	12:30	90	70	94	6.58	C	Y	Y
NU1-07	7	NU1	Nuka	9/20/2024	Dry	Dry+	13:00	69	73	94	6.862	C	Y	Y
NU2-00	0	NU2	Nuka	9/14/2024	Nor	Dry	15:00	107	315	98	30.87	C	Y	N
NU2-01	1	NU2	Nuka	9/15/2024	Nor	Dry+	13:45	107	606	98	59.388	C	NA	N
NU2-02	2	NU2	Nuka	9/16/2024	Nor	Dry+	12:40	80	331	98	32.438	C	Y	N
NU2-03	3	NU2	Nuka	9/17/2024	Wet	Dry+	13:00	79	3710	98	363.58	U	NA	N
NU2-04	4	NU2	Nuka	9/18/2024	Nor	Dry+	12:40	102	894	98	87.612	C	NA	N
NU2-05	5	NU2	Nuka	9/19/2024	Nor	Dry+	12:30	107	111	98	10.878	C	Y	N
NU2-06	6	NU2	Nuka	9/20/2024	Dry	Dry+	13:00	65	2160	98	211.68	U	NA	N
NU2-07	7	NU2	Nuka	9/21/2024	Dry	Dry+	12:45	100	1890	98	185.22	U	NA	N
NU3-00	0	NU3	Nuka	9/15/2024	Nor	Dry	13:45	40	6780	98	664.44	U	NA	N
NU3-01	1	NU3	Nuka	9/16/2024	Nor	Dry	12:40	93	584	98	57.232	C	NA	N
NU3-02	2	NU3	Nuka	9/17/2024	Nor	Dry+	13:00	24	1490	98	146.02	U	NA	N
NU3-03	3	NU3	Nuka	9/18/2024	Wet	Dry	12:40	63	1262	90	113.58	U	NA	N
NU3-04	4	NU3	Nuka	9/19/2024	Nor	Dry+	12:30	84	7830	98	767.34	U	NA	N
NU3-05	5	NU3	Nuka	9/20/2024	Nor	Dry+	13:00	51	1620	98	158.76	U	NA	N
NU3-06	6	NU3	Nuka	9/21/2024	Dry	Dry+	12:45	98	930	98	91.14	C	NA	N
NU3-07	7	NU3	Nuka	9/22/2024	Nor	Dry+	11:50	27	2850	98	279.3	U	NA	N
OM1-00	0	OM1	Omak	9/13/2024	Nor	Dry	14:00	57	65	94	6.11	C	Y	Y
OM1-01	1	OM1	Omak	9/14/2024	Dry	Dry	15:00	103	68	94	6.392	C	Y	Y
OM1-02	2	OM1	Omak	9/15/2024	Dry	Dry	13:45	72	95	98	9.31	C	Y	N
OM1-03	3	OM1	Omak	9/16/2024	Dry	Dry	12:40	41	29	84	2.436	C	Y	Y
OM1-04	4	OM1	Omak	9/17/2024	Dry	Dry+	13:00	42	83	98	8.134	C	Y	N
OM1-05	5	OM1	Omak	9/18/2024	Dry	Dry	12:40	87	183	98	17.934	C	Y	N
